word,def,syn,ant,example
albeit,Used to introduce a fact that partly limits or contrasts with what has just been said,even though; although; despite the fact that,similarly; likewise; furthermore,"The climb was exhausting, albeit the view from the top was worth every single step."
alert,Quick to notice what is happening and ready to act,watchful; vigilant; attentive,drowsy; oblivious; careless,"Stay alert on the stairs, particularly when you are carrying a tall stack of books."
alienate,To make someone feel unwelcome or separate them from a group they belong to,estrange; isolate; ostracise,welcome; include; befriend,"Rude remarks at the meeting can alienate a whole class, so teachers often warn pupils beforehand."
allay,"To make someone's fear or anxiety weaker, often by calming them",soothe; calm; ease,intensify; worsen; aggravate,A warm drink and a quiet story helped allay her terror of the storm outside.
allegation,"A claim that someone has done something wrong, which has not yet been proved",accusation; charge; claim,exoneration; vindication; acquittal,The report examined every allegation carefully before deciding that the coach had done nothing wrong.
alleviate,"To reduce the intensity of pain, hardship or a difficulty",lessen; ease; relieve,worsen; aggravate; intensify,A warm compress and plenty of rest can alleviate the pain of a sore knee after a long match.
allot,To give a particular amount of time or money for a purpose,assign; allocate; apportion,withhold; retain; deprive,The head teacher allotted ten minutes to each group for the final question and answer session.
alluring,"Very attractive or tempting, especially in a mysterious way",enticing; captivating; beguiling,unattractive; drab; repulsive,The travel agent used alluring photos of beaches and night markets to sell the package holiday.
allusion,"A word or phrase used to remind you of a well known story, person or event",reference; hint; reminder,quotation; citation; paraphrase,"Her speech contained a clear allusion to the Trojan horse, and half the audience smiled."
ally,A person or country that gives support and help to another,supporter; partner; backer,enemy; opponent; adversary,"At the hearing, her ally stood up and explained exactly what had happened that afternoon."
altercation,A noisy argument or quarrel between people,quarrel; dispute; squabble,agreement; harmony; peace,A noisy altercation in the corridor made the teacher send both boys back to their lessons.
altitude,The height of a place or object measured above sea level,height; elevation,depth; sea level; descent,The mountain guide checked the altitude of the path before the group began the long climb.
altruistic,Doing things to help other people without expecting any reward,selfless; generous; charitable,selfish; mean; grasping,"Giving up her Saturday to run the charity cake stall, she was quietly altruistic in every way."
ambition,A strong wish to achieve something difficult or important,aspiration; aim; drive,contentment; indifference; complacency,Her ambition to become a surgeon led her to spend every holiday shadowing doctors at the hospital.
ambivalence,The feeling of being unsure because you hold two opposite views at the same time,doubt; indecision; uncertainty,certainty; conviction; decisiveness,Her ambivalence about choosing between medicine and design meant the choice took weeks longer.
amend,To change a document or rule slightly in order to improve it,revise; modify; correct,reject; overturn; preserve,The committee voted to amend the rule so that pupils could use phones in the dining hall.
amiable,"Pleasant, friendly and easy to get on with",friendly; good-natured; affable,unfriendly; surly; hostile,The new head teacher was so amiable that nervous first years settled into school within days.
amorphous,"Having no definite shape, form or structure",shapeless; formless; without shape,defined; definite; structured,"The spilled drink left an amorphous puddle across the worktop, impossible to wipe into neat edges."
amphibian,An animal that can live both in water and on land,water-and-land creature; semiaquatic animal,reptile; lizard; fish,"An amphibian needs damp skin, which is why the class kept the classroom tank shaded."
ample,More than enough of something for a purpose,sufficient; plentiful; abundant,scarce; insufficient; meagre,"There was ample time before the bell, so the class began its history project without hurrying."
amusing,Making you laugh or smile because it is funny,funny; humorous; entertaining,dull; boring; tedious,The class clown's imitation of the head teacher was so amusing that the whole room burst out laughing.
anagram,A word or phrase made by rearranging the letters of another exactly,rearrangement; reshuffle; letter swap,original wording; unchanged order,"In the puzzle, she had to find an anagram of 'silent', which uses exactly the same five letters."
analogy,A comparison of two things to show how they are alike,comparison; parallel; likeness,contrast; difference; disparity,"The teacher drew an analogy between a cell and a busy city, where the nucleus ran everything."
anarchist,Someone who believes governments and rules should be destroyed,revolutionary; rebel; insurgent,law-abiding citizen; royalist; loyalist,"In the novel, a character is called an anarchist because he believes every rule should be destroyed."
ancestral,"Coming from a parent, grandparent or earlier family member",hereditary; inherited; traditional,modern; contemporary; recent,"The old ring was ancestral, handed down from grandmother to mother and then to my cousin."
anecdote,A short amusing story about something that really happened,tale; story; episode,formal report; statistics; official record,He opened his talk with a short anecdote about two cyclists hiding in a farmyard barn.
angst,A feeling of worry and unease about something uncertain,anxiety; dread; distress,tranquillity; reassurance; contentment,Waiting for the exam results filled him with such angst that he could not sleep for days.
antagonistic,Deliberately opposing or competing with someone in a hostile way,hostile; combative; adversarial,friendly; cooperative; agreeable,"He became antagonistic whenever anyone questioned him, so meetings turned into long arguments."
antidote,A substance that cancels out the harmful effects of a poison,remedy; cure; neutraliser,poison; toxin; hazard,"The paramedic used an antidote straight away, undoing the effects of what he had swallowed."
antipathy,A strong feeling of dislike towards a particular person or thing,aversion; dislike; distaste,sympathy; fondness; liking,Her antipathy to all insects grew so strong after a bee sting that she left the room.
antiquated,Old-fashioned and no longer suitable in present-day life,outdated; obsolete; bygone,modern; contemporary; up-to-date,"Our cellar holds an antiquated box of equipment from the last century, including a horn for gramophone records."
antithesis,"The exact opposite of something, set next to it for contrast",opposite; contrary; reverse,similarity; likeness; match,"In her essay she used a striking antithesis, placing kindness beside cruelty to show how far apart they are."
anxious,Worried and nervous about something that may happen,nervous; uneasy; troubled,calm; relaxed; untroubled,"She became anxious before the reading assessment, checking her watch and the clock again and again."
aperture,"A small opening or hole, such as in a camera or a wall",opening; gap; hole,plug; blockage; seal,"The photographer narrowed the aperture slightly, so only a thread of light reached the film."
aphorism,A short clever saying that teaches a general truth or gives advice,maxim; proverb; saying,lengthy speech; rambling account; verbose essay,His coach's aphorism about hard work beating clever shortcuts stayed with the team for months.
apoplectic,So extremely angry that speech and movement become almost impossible,furious; livid; enraged,calm; placid; unruffled,"When he saw his name missing from the team sheet, he was so apoplectic that he could barely speak."
appeal,A request that someone changes a decision they have officially made,plea; request; petition,refusal; rejection; dismissal,"Her parents made an appeal to the exam board, asking them to look at the marking again."
appearance,The way a person or thing looks to other people,look; aspect; exterior,invisibility; absence; concealment,"She changed her appearance for the class photograph, choosing a crisp white shirt and a red bow tie."
appease,To make someone calm and satisfied by giving them what they want,calm; placate; soothe,anger; enrage; inflame,"To appease the furious crowd, the caretaker turned down the music and opened the windows."
appetising,Food that looks or tastes so good that you want it straight away,tasty; delicious; mouth-watering,bland; tasteless; unpalatable,The smell of cinnamon and orange from the kitchen was so appetising that the class was ravenous at once.
apprentice,Someone who is learning a job or trade from an experienced worker,trainee; learner; novice,expert; master; specialist,"For two years he worked as an apprentice in a bakery, learning to bake under the head baker."
apprise,"To inform someone of a fact, especially in a formal or official way",inform; notify; advise,conceal; hide; withhold,"A letter went home to apprise parents of the change, as the term will now finish a week earlier."
approve,To think something is a good idea and give it permission to happen,agree; endorse; support,reject; oppose; condemn,The governors approved the idea of a talent show and gave the pupils a slot in the hall.
apt,Exactly right or suitable for a particular purpose,suitable; appropriate; fitting,unsuitable; inappropriate; irrelevant,The teacher praised her short phrase because it was an apt answer to that tricky old riddle.
aptitude,A natural ability to do a particular kind of thing well,talent; ability; knack,inability; clumsiness; incompetence,"She showed a real aptitude for numbers, solving the hardest puzzle in minutes without any help."
arbitrary,"Decided by chance or personal choice, not by any rule or reason",random; chance; unpredictable,planned; deliberate; considered,"Choosing which team plays first is arbitrary, since the names are simply drawn out of a hat."
archaic,"Very old-fashioned, using words or customs from long ago",old-fashioned; outdated; bygone,modern; contemporary; up-to-date,"The poem uses archaic expressions like 'thee' and 'hath', which no one would say in a text message today."
architecture,The art and science of designing buildings and other structures,building design; structural design; construction,demolition; ruin; destruction,"The class studied the architecture of the old cathedral, admiring its clever arches and tall stone towers."
ardour,"A passionate enthusiasm for something, often shown by very eager action",enthusiasm; fervour; zeal,apathy; indifference; detachment,Her ardour for the school choir was so strong that she practised the same difficult song every evening.
argument,A clash of opinions in which each side tries to convince the other that it is right,dispute; disagreement; row,agreement; accord; consensus,"The class had a lively argument about whether the sports day should be moved, and the head teacher settled it."
arouse,To cause a strong feeling or reaction to begin in someone,awaken; provoke; stir,calm; pacify; soothe,"The mysterious noise in the old shed aroused her curiosity, so she told her friends about it."
arrogance,"An unbending sense of one's own superiority, shown by contempt for other people",haughtiness; presumption; self-importance,humility; modesty; deference,"His arrogance annoyed the rest of the team, because he refused to listen to anyone's ideas."
artful,"Cunning and shrewd at getting what you want, often by tricking or flattering people",cunning; crafty; sly,honest; sincere; straightforward,The artful salesman praised everything we owned so that we would buy his useless old car.
article,"A separate item or object that is named or discussed on its own, apart from others",item; object; thing,whole; total; group,The museum guide pointed to a golden article from ancient Rome and explained why it was so rare.
articulate,"Able to express your ideas clearly and effectively, especially when speaking",expressive; eloquent; fluent,inarticulate; speechless; mute,"The youngest pupil gave an articulate account of her project, speaking clearly and answering every question confidently."
artificial,"Made or built by people rather than found in nature, often copied from a real thing",synthetic; man-made; fake,natural; genuine; authentic,The artificial flowers in the hall looked so convincing that several visitors asked where they were bought.
artisan,"A skilled maker who produces fine objects by hand, often using traditional methods",craftsman; maker; tradesman,novice; beginner; amateur,A local artisan came to school to show us how she makes clay pots on a spinning wheel.
ascendancy,The power or control that one person has gained over a group of others,domination; supremacy; control,submissiveness; defeat; obedience,"The team's ascendancy during the tournament was remarkable, winning eleven matches out of twelve."
ascent,"The act of climbing or moving upwards, especially up a steep hill or mountain",climb; rise; scaling,descent; drop; fall,"During their ascent of Snowdon, the hikers battled against strong winds and thick cloud."
ascetic,"A person who lives simply and strictly, giving up pleasures and comforts on purpose",austere; self-denying; abstinent,indulgent; self-indulgent; worldly,The ascetic's simple life gave him a calm that our busy household could hardly imagine.
askance,"With a sideways look that shows suspicion, distrust or dislike",suspiciously; doubtfully; warily,approvingly; warmly; favourably,"The head teacher glanced askance at the timetable, clearly suspecting that somebody had made a mistake."
aspiration,A strong hope of achieving something better in the future,ambition; hope; dream,contentment; apathy; resignation,Their aspiration to build a new library for the village finally succeeded after three years of writing letters.
assemble,"To come together in one place, or to bring separate pieces together as one group",gather; convene; collect,scatter; disperse; dismantle,"The whole school assembled in the playground, waiting quietly for the visitors to arrive."
assertive,Confident in stating your views and standing your ground without being aggressive,firm; confident; forceful,submissive; timid; hesitant,"Rather than agreeing to everything, the pupil was assertive and told the group fairly what she thought."
asset,Something of great value that a person or organisation owns and can make good use of,valuable; possession; treasure,liability; drawback; burden,"Her calm manner during the reading test was a real asset, because the class settled at once."
assistance,Help given to someone so that they can do something more easily or successfully,help; support; aid,hindrance; obstacle; opposition,The school offered free assistance with homework to every pupil who came to the Tuesday club.
assortment,A collection of various different things of a similar kind gathered together,collection; selection; array,uniformity; sameness; monotony,"Each stall at the fair sold a different assortment of cakes, and the queue reached the car park."
assuage,"To make a painful feeling less severe, usually by offering comfort or reassurance",soothe; ease; relieve,aggravate; worsen; intensify,A gentle hug from her mother helped assuage the little girl's worry when the thunder began again.
astonishment,A feeling of complete surprise so strong that it leaves a person unable to speak,amazement; shock; wonder,indifference; calmness; composure,Her astonishment was obvious when the school cat reappeared after missing for six weeks.
astounding,So remarkable or extreme that it surprises everybody who hears about it,amazing; astonishing; remarkable,ordinary; unremarkable; dull,It was astounding that the tiny seedling had grown into a tree taller than the classroom door.
asunder,"Into separate pieces or parts, usually after a sudden violent break",apart; broken; severed,together; intact; undivided,"The storm tore the greenhouse roof asunder, and glass lay across the lawn for hours."
atrocious,"So extremely bad, cruel or painful that it causes disgust or horror",abhorrent; dreadful; monstrous,excellent; delightful; pleasant,"His behaviour in the dinner queue was atrocious, and the teacher sent him to see the head."
attempt,"An effort to do something, especially when success is not certain",try; effort; endeavour,abandonment; surrender; inaction,"His first attempt at free-throw practice was hopeless, so the coach showed him how to hold the ball."
attentive,"Watching or listening with close care, taking in everything being said or done",watchful; alert; observant,inattentive; careless; absent-minded,"Always attentive, Aran spotted three spelling mistakes that the rest of the group had missed."
attribute,"To say that a particular person or thing caused something, especially when you cannot prove it",ascribe; credit; assign,deny; absolve; ignore,"The examiner attributed the delay to heavy traffic, and apologised to the waiting candidates."
audacity,"The courage to do something daring or rude, even when it is clearly unwise",boldness; daring; nerve,cowardice; timidity; caution,The reporter had the audacity to knock on the headmaster's door during assembly and request an interview.
audition,A short performance given to judge whether someone is suitable for a role,trial; test; tryout,rejection; refusal; dismissal,"Nervous at first, Sofia sang beautifully in her audition and was given the part of the queen."
augment,To make something larger or greater by adding to what is already there,enlarge; expand; increase,reduce; shrink; diminish,"Extra vegetables augmented the meal, and the hungry footballers asked for seconds straight away."
autonomous,"Able to work, act or make choices independently without being told what to do",independent; free; self-directed,dependent; controlled; restricted,"As an autonomous learner, Priya planned her revision timetable and needed almost no reminders from her parents."
aversion,"A strong feeling of dislike for something, which makes you keep away from it",dislike; distaste; loathing,liking; fondness; delight,Her aversion to public speaking faded after she gave a short talk to her own class.
avoid,"To stay away from something, or to stop something unpleasant from happening",dodge; evade; escape,face; encounter; seek,The pupils avoided the wet grass by walking round the edge of the field instead.
awe,A feeling of deep respect mixed with wonder and fear before something grand or powerful,wonder; reverence; amazement,contempt; indifference; disregard,"Visitors to the cathedral looked in awe at the painted ceiling, which took six years to finish."
awry,"Not straight or correct, but twisted or gone wrong in some way",crooked; askew; wrong,straight; correct; orderly,"The picture on the wall hung awry, so the caretaker adjusted it carefully before the visitors arrived."
axiom,"A statement accepted as true without needing proof, such as a basic principle",maxim; truism; principle,fallacy; error; contradiction,For years the family followed the old axiom that money should never be discussed at the table.
baleful,"Showing a wish to do harm, with an evil and threatening look",malicious; sinister; spiteful,kindly; friendly; cheerful,He gave his brother a baleful stare after the prize had gone to someone else.
balk,To refuse to continue because you are unwilling or afraid to do what is suggested,refuse; hesitate; recoil,accept; proceed; consent,"Several boys balked at swimming in the cold water, and asked to watch instead."
banal,So ordinary and uninteresting that it adds nothing new or surprising,ordinary; dull; unoriginal,original; striking; memorable,"The holiday programme followed a banal pattern of talks and quizzes, with nothing new to look forward to."
bane,Something that is regularly troublesome or harmful and spoils your pleasure,plague; nuisance; scourge,blessing; boon; gift,"Missing pens during lessons proved a constant bane, and the class kept a box at the front of the room."
barbarian,"A person who is cruel and uncivilised, with no regard for other people's feelings",savage; brute; hooligan,civilised; cultured; humane,"When the crop failed, the hungry crowd behaved like barbarians and broke into the food store."
barricade,A barrier put across a road or entrance to block people or vehicles from passing,barrier; blockade; obstruction,passage; opening; gateway,"Rows of benches made a barricade across the entrance, so nobody could get into the hall."
belies,"To show that a statement or idea is not true, because the facts prove otherwise",disproves; contradicts; refutes,proves; confirms; supports,His tired face belied his claim of having slept for ten hours the night before.
belittle,"To speak to someone as if they were unimportant or worthless, making them feel small",diminish; disparage; patronise,praise; compliment; flatter,"Constant criticism from the older pupil belittled the beginner, so she stopped volunteering to answer."
bellicose,"Eager to fight or argue, showing an aggressive and warlike attitude",aggressive; warlike; combative,peaceful; friendly; amicable,"Rather than shaking hands, the captains made bellicose speeches that only deepened the quarrel."
bemoan,"To complain sadly about something, wishing it were different or that you still had it",mourn; lament; regret,celebrate; enjoy; relish,"The retired headteacher bemoaned the passing of the old grammar school, which closed in nineteen eighty-four."
bemuse,To confuse someone so much that they cannot think clearly or understand what is happening,puzzle; baffle; perplex,clarify; enlighten; reassure,"The instructions in the booklet bemused me completely, so I asked a grown-up for help."
benefit,A good result or helpful effect that something gives you,advantage; gain; profit,downside; drawback; harm,"Regular revision has a real benefit, and the children who practised scored far better in the maths paper."
benevolent,"Kind and generous, wishing to do good and to help other people",charitable; generous; kindly,mean; selfish; unkind,A benevolent uncle paid for the school trip so that every child could join in.
benign,"Not harmful at all, but mild and harmless in effect",harmless; mild; gentle,harmful; dangerous; unhealthy,Doctors reassured the family that the growth was benign and would disappear on its own.
bequeath,"To give something to someone in your will, to be received after your death",leave behind; hand down; pass on,seize; confiscate; deprive,"In her will, Grandma bequeathed her old piano to my cousin, who had always admired it."
bereft,Left without something or someone that you used to have,uprooted; deprived; forsaken,endowed; blessed; fortunate,The old tree stood bereft of its leaves after the fierce storm had torn them away in a single night.
besiege,To camp all around a place with soldiers and cut off its food and supplies,surround; encircle; blockade,withdraw; liberate; recapture,"For three months the enemy army lay outside, besieging the castle while the defenders grew short of food."
betray,To break a promise or be disloyal to someone who trusts you,double-cross; deceive; desert,loyal; faithful; trustworthy,"He promised to keep our conversation secret, yet the name he betrayed to the newspaper was mine."
biased,"Unfairly favouring one side, person or opinion over another",prejudiced; partial; one-sided,impartial; fair-minded; neutral,Several parents complained that the judge was biased because he always praised girls and ignored the boys.
bickering,"Quarrelling noisily over small, unimportant matters",squabbling; wrangling; niggling,agreeing; cooperating; peaceable,By lunchtime the two sisters were bickering again about who had to wash the last cup.
biodiversity,The great variety of all living things in one place or on the earth,species variety; species richness; many different species,uniformity; monoculture; sameness,"Wildflower verges along the railway track are home to bees and butterflies, so they boost the biodiversity of the whole village."
bipartisan,Supported by two opposing political parties working together,cross-party; two-party; inter-party,one-party; single-party; one-sided,The new law was passed after a bipartisan committee agreed on a plan neither side could argue with.
blasphemy,Speaking or writing about God in a way that shows great disrespect,irreverence; impiety; sacrilege,reverence; devotion; piety,"Some worshippers walked out, saying the comedian's joke about their faith was nothing short of blasphemy."
bleak,"Gloomy and hopeless, with nothing cheerful in sight",desolate; dismal; sombre,cheerful; bright; hopeful,"The forecast promised a bleak week of rain, so we cancelled the picnic and stayed indoors playing games."
blissful,Full of complete happiness and perfect contentment,delighted; joyful; elated,miserable; wretched; joyless,"He looked blissful on his birthday morning, holding the brand new cricket bat his father had promised."
boisterous,"Loud, energetic and full of rough, cheerful excitement",noisy; rowdy; exuberant,quiet; subdued; placid,"A crowd of supporters was waiting outside, chanting and joking in a boisterous welcome for the winners."
bolster,To make something stronger by adding support to it,strengthen; reinforce; support,weaken; undermine; diminish,Reading every evening bolstered her confidence before the speech she had to give in public.
boon,Something that is very useful or brings a real benefit,benefit; blessing; advantage,disadvantage; drawback; hindrance,Having a warm kitchen after weeks of cold meals was an enormous boon to everyone at home.
braggart,"A person who shows off loudly, claiming to be cleverer or more successful than others",boaster; show-off; loudmouth,modest; humble; unassuming,"Our new boy keeps telling everyone he is the best footballer, which makes some of us roll our eyes."
brawn,Great physical strength and muscular power,muscle; strength; vigour,weakness; frailty; feebleness,"The tug of war was decided by pure brawn rather than skill, as the two teams hauled at the rope."
brazen,Shameless and bold enough to do something improper without flinching,shameless; impudent; presumptuous,shy; modest; cautious,It was brazen of him to walk into the headmaster's office wearing sunglasses and shouting his name.
breach,"An act of breaking a promise, rule or agreement that you were bound to obey",violation; infringement; disobedience,obedience; compliance; observance,"Students must not read another pupil's diary, because doing so breaches the rules and could lead to punishment."
breadth,"The great width or wide range of something, especially of knowledge or experience",width; range; scope,narrowness; limitation; restriction,"What impressed me about the course was its breadth, from science lessons to music, drama and expeditions."
brevity,The quality of lasting a very short time or using very few words,conciseness; shortness; terseness,verbosity; lengthiness; long-windedness,"Because of the time limit, the speaker's brevity meant he covered only two of the six questions."
brief,"Lasting only a little while, or giving very few details",short; concise; momentary,long; lengthy; enduring,We only had a brief moment to grab our books before the bell rang for the next lesson.
brisk,Moving or working fast with plenty of energy,quick; lively; bracing,sluggish; slow; leisurely,"The trainer kept the session brisk, making us run a full circuit of the pitch every minute."
brooding,Thinking deeply and anxiously about something that troubles you,pondering; moping; musing,carefree; cheerful; lighthearted,"Since losing the final she has been brooding, staring out of the window and ignoring her friends."
bulky,"Very large and heavy, and therefore awkward to carry or move",massive; enormous; unwieldy,compact; slender; lightweight,Moving house meant carrying a bulky wardrobe up two flights without damaging the paintwork.
burden,A heavy duty or worry that is hard to bear,load; weight; trouble,relief; comfort; ease,"The extra homework was a real burden that evening, so we asked the teacher for a little longer."
burgeon,To grow or develop rapidly into something bigger or more successful,flourish; thrive; bloom,wither; decline; dwindle,Sales in the shop burgeon after the new cake appeared on the television programme last week.
bustling,Crowded with people who are moving about energetically and talking loudly,teeming; busy; lively,deserted; empty; quiet,"By nine o'clock the bustling high street was full of commuters, delivery vans and open shop doors."
buttress,A stone or brick built against a wall to give it extra support,support; prop; brace,destruction; removal; collapse,A wooden buttress was hammered across the gate to stop the battering ram from forcing it open.
