word,def,syn,ant,example
dismal,"Gloomy, depressing, or very poor.",gloomy; dreary; miserable,cheerful; bright; pleasant,The team gave a dismal performance and lost badly.
disperse,To scatter or spread in different directions.,scatter; separate; dissipate,gather; assemble; congregate,The crowd began to disperse after the concert ended.
drought,A long period with little or no rain.,dry spell; aridity,rainfall; downpour; flood,The prolonged drought caused many crops to fail.
embarrass,"To make someone feel awkward, ashamed, or self-conscious.",humiliate; shame; discomfort,reassure; comfort; encourage,Please don't embarrass him by mentioning his mistake in front of everyone.
endeavour,A serious or determined attempt to achieve something.,attempt; effort; undertaking,idleness; inaction; abandonment,Climbing the mountain was a difficult endeavour.
enterprise,"A project or undertaking, especially one requiring effort or initiative; also a business.",venture; undertaking; business,inactivity; idleness,Setting up her own bakery was an ambitious enterprise.
errand,"A short journey made to deliver, collect, or do something.",task; chore; mission,—,Mum sent me on an errand to buy some milk.
evident,Clear and easy to see or understand.,obvious; apparent; clear,hidden; unclear; obscure,It was evident from his smile that he was delighted.
explanation,A statement that makes something clear or gives a reason for something.,clarification; account; description,confusion; mystery,The teacher gave a simple explanation of how the machine worked.
famine,An extreme shortage of food affecting many people.,starvation; food shortage; scarcity,abundance; plenty; feast,The failed harvest led to a severe famine.
fatigue,Extreme tiredness caused by physical or mental effort.,exhaustion; weariness; tiredness,energy; vigour; freshness,"After hours of walking, she was overcome with fatigue."
feign,To pretend to have a feeling or condition that is not genuine.,pretend; fake; simulate,reveal; admit; be genuine,He tried to feign illness so that he could avoid school.
flamboyant,"Very noticeable, colourful, or confident in style or behaviour.",showy; extravagant; colourful,modest; restrained; plain,The actor arrived wearing a flamboyant purple suit.
fleet,A group of ships or vehicles operating together.,flotilla; armada; group,—,A fleet of fishing boats sailed out of the harbour.
frivolous,Not serious or sensible; having little importance or value.,trivial; silly; foolish,serious; sensible; important,She refused to waste her savings on frivolous purchases.
gratitude,The feeling of being thankful and appreciative.,thankfulness; appreciation; gratefulness,ingratitude; thanklessness,He expressed his gratitude to the stranger who had helped him.
gregarious,Sociable and enjoying the company of other people.,sociable; outgoing; friendly,solitary; reserved; unsociable,Mia is gregarious and enjoys meeting new people.
grotesque,"Very strange, ugly, or distorted, often in a disturbing way.",hideous; distorted; monstrous,beautiful; attractive; graceful,A grotesque stone creature was carved above the doorway.
helix,"A spiral shape, like a coil or corkscrew.",spiral; coil,straight line,The structure of DNA forms a double helix.
hygienic,Clean and unlikely to cause illness or spread germs.,sanitary; clean; sterile,unhygienic; dirty; contaminated,Washing your hands before preparing food is hygienic.
idiosyncrasy,An unusual habit or characteristic that is particular to one person.,peculiarity; quirk; eccentricity,normality; conformity,One of his idiosyncrasies was arranging his books according to their height.
immerse,To put completely into liquid; or to become deeply involved in something.,submerge; plunge; engross,emerge; withdraw; disengage,She liked to immerse herself in a good book.
impudent,"Rude and disrespectful, especially towards someone in authority.",insolent; cheeky; disrespectful,respectful; polite; courteous,The teacher was shocked by the pupil's impudent reply.
inaugural,Marking the beginning or first occasion of something.,first; opening; introductory,final; concluding; closing,The club held its inaugural meeting on Monday.
inconspicuous,Not easily noticed or attracting little attention.,unobtrusive; unnoticed; discreet,conspicuous; noticeable; prominent,The spy wore plain clothes to remain inconspicuous.
innocuous,Harmless and unlikely to cause offence or injury.,harmless; safe; inoffensive,harmful; dangerous; offensive,The spider looked frightening but was completely innocuous.
insolent,"Rude and disrespectful, especially towards someone in authority.",impudent; disrespectful; cheeky,respectful; polite; courteous,His insolent behaviour earned him a stern warning from the teacher.
lament,To express sadness or regret about something.,mourn; grieve; bewail,rejoice; celebrate; cheer,The villagers lamented the loss of the ancient woodland.
lavish,"Very generous, abundant, or expensive.",extravagant; luxurious; abundant,meagre; modest; sparse,They prepared a lavish feast for the celebration.
malady,"An illness, disease, or serious problem.",illness; ailment; disease,health; wellness; fitness,The doctor searched for a cure for the mysterious malady.
matte,"Having a dull, non-shiny surface or finish.",dull; non-glossy; flat,glossy; shiny; polished,She chose matte paint because she did not want the wall to shine.
meagre,Very small in amount or quantity; not enough.,scanty; sparse; inadequate,abundant; plentiful; ample,The family had to survive on a meagre supply of food.
melancholy,"A deep, quiet, or lasting feeling of sadness.",sadness; sorrow; gloom,happiness; joy; cheerfulness,A feeling of melancholy came over him as he remembered his old home.
merchant,A person or business that buys and sells goods.,trader; dealer; retailer,customer; buyer,The merchant travelled overseas to sell his goods.
meticulous,Extremely careful and precise about small details.,careful; thorough; painstaking,careless; sloppy; negligent,She was meticulous when checking her answers for mistakes.
nauseous,Feeling as though you are going to vomit; feeling sick.,sick; queasy; nauseated,well; comfortable; healthy,The rough boat journey made him feel nauseous.
nimble,"Able to move quickly, lightly, and easily.",agile; swift; sprightly,clumsy; slow; awkward,The nimble squirrel leapt easily from branch to branch.
nuisance,A person or thing that causes annoyance or inconvenience.,annoyance; bother; irritation,help; benefit; convenience,The broken alarm became a nuisance because it kept ringing.
obstinate,Stubbornly refusing to change one's opinion or behaviour.,stubborn; headstrong; inflexible,flexible; agreeable; compliant,The obstinate child refused to admit that he was wrong.
omen,An event or sign believed to indicate what will happen in the future.,sign; portent; warning,—,Dark clouds were an omen of the approaching storm.
oppress,"To treat people cruelly or unfairly, especially by using power over them.",persecute; tyrannise; suppress,liberate; free; protect,The cruel ruler used harsh laws to oppress his people.
ordeal,"A very difficult, painful, or unpleasant experience.",trial; hardship; nightmare,pleasure; comfort; delight,Being stranded in the freezing wilderness was a terrible ordeal.
ostentatious,Designed to attract attention or impress people by showing wealth or importance.,showy; flashy; pretentious,modest; restrained; unassuming,He arrived in an ostentatious limousine covered in gold decorations.
palaeontologist,A scientist who studies fossils and ancient forms of life.,fossil scientist; palaeobiologist,—,The palaeontologist carefully examined the dinosaur fossil.
peril,Serious and immediate danger.,danger; risk; jeopardy,safety; security; protection,The climbers were in great peril when the storm struck.
perish,To die or be completely destroyed.,die; expire; succumb,survive; live; endure,"Without water, the plants would perish in the heat."
pioneer,"A person who is among the first to explore, develop, or introduce something new.",innovator; trailblazer; explorer,follower; imitator,She was a pioneer in the development of new medical treatments.
placid,"Calm, peaceful, and not easily disturbed.",calm; tranquil; serene,agitated; turbulent; excitable,The placid lake reflected the mountains perfectly.
polarity,The state of having two opposite or contrasting qualities or sides.,opposition; contrast; duality,similarity; unity,There was a clear polarity between the two opinions.
pompous,Behaving as though you are more important than you really are.,self-important; arrogant; pretentious,humble; modest; unassuming,Everyone became tired of his pompous speeches about his achievements.
precarious,"Unsafe, unstable, or likely to become dangerous.",risky; unstable; insecure,safe; stable; secure,The ladder stood in a precarious position on the uneven ground.
prohibit,To officially forbid or prevent something.,forbid; ban; prevent,allow; permit; authorise,School rules prohibit pupils from using phones during lessons.
provoke,"To cause a reaction, especially anger; to deliberately annoy someone.",incite; irritate; trigger,calm; soothe; pacify,He deliberately tried to provoke his brother into an argument.
quaint,Attractively unusual or old-fashioned.,picturesque; charming; old-fashioned,modern; ordinary; unattractive,We stayed in a quaint cottage in a small village.
quench,To satisfy thirst or extinguish a fire.,satisfy; extinguish; douse,ignite; kindle; intensify,A glass of cold water helped quench her thirst.
raiment,"Clothing, especially fine or formal clothing.",clothing; garments; attire,nakedness,The king appeared in magnificent raiment for the ceremony.
reprimand,To speak angrily or seriously to someone because they have done something wrong.,scold; rebuke; admonish,praise; commend; applaud,The teacher had to reprimand the pupils for their poor behaviour.
restrain,To prevent someone or something from moving or acting freely; to keep under control.,restrict; control; hold back,release; free; unleash,She had to restrain the excited dog from chasing the cat.
rigid,Stiff and unable to bend; or strict and unwilling to change.,stiff; inflexible; unyielding,flexible; pliable; adaptable,The frozen rope became completely rigid.
scanty,Small or insufficient in amount.,meagre; sparse; inadequate,plentiful; abundant; ample,The explorers survived on scanty supplies until help arrived.
scripture,"Sacred writings, especially those belonging to a religion.",sacred text; holy writings,secular writing,The scholar spent many years studying ancient scripture.
seize,To take hold of something suddenly and firmly; to take possession by force.,grab; grasp; capture,release; surrender; relinquish,The eagle swooped down to seize its prey.
sermon,"A talk on a religious or moral subject, usually given during a religious service.",address; homily; discourse,—,The priest delivered a sermon about kindness and forgiveness.
stern,"Serious, strict, and severe in manner.",strict; severe; firm,gentle; lenient; mild,The teacher gave the class a stern warning about their behaviour.
submissive,Willing to obey others without resisting.,obedient; compliant; docile,defiant; dominant; rebellious,The once rebellious dog became submissive after careful training.
succumb,To stop resisting something and give in; or to die from an illness or injury.,yield; surrender; submit,resist; withstand; overcome,"After hours of temptation, he finally succumbed and ate a slice of cake."
tempestuous,"Full of strong emotions, conflict, or violent storms.",stormy; turbulent; tumultuous,calm; peaceful; tranquil,Their tempestuous journey across the sea was filled with violent storms.
tranquil,"Calm, quiet, and peaceful.",peaceful; serene; placid,turbulent; agitated; noisy,The garden was tranquil in the early morning.
turbulent,"Characterised by disorder, conflict, or violent movement.",stormy; chaotic; unsettled,calm; stable; tranquil,The aeroplane shook as it passed through turbulent air.
vicarious,Experienced through another person's actions or feelings rather than directly yourself.,indirect; second-hand; imagined,direct; first-hand; personal,He experienced vicarious excitement by listening to his friend's adventures.
virtuous,Having high moral standards and behaving in a good and honourable way.,moral; righteous; honourable,wicked; immoral; corrupt,The virtuous knight refused to betray his companions.
wither,"To become dry, weak, or shrivelled; to lose strength or freshness.",shrivel; wilt; fade,flourish; bloom; thrive,"Without water, the flowers began to wither."
wretched,"Very unhappy, miserable, or in extremely poor condition.",miserable; unhappy; dreadful,happy; comfortable; excellent,The lost traveller felt wretched after spending a cold night in the rain.
