word,def,syn,ant,example
conceit,Excessive pride in oneself or one's abilities.,vanity; arrogance; self-importance,humility; modesty,His conceit made him believe he was better than everyone else.
condemn,To express strong disapproval of something; or declare someone guilty.,denounce; criticise; censure,praise; approve; commend,The community leaders condemned the act of vandalism.
conflagration,A large and destructive fire.,inferno; blaze; fire,extinguishment; quenching,The conflagration destroyed several buildings.
controversy,Public disagreement or argument about an issue.,dispute; debate; disagreement,agreement; harmony; consensus,The proposal caused considerable controversy in the town.
deceit,Dishonest behaviour intended to make someone believe something false.,deception; dishonesty; trickery,honesty; truthfulness; sincerity,His deceit was discovered when the truth came out.
deliberate,Done intentionally and with careful thought.,intentional; planned; purposeful,accidental; unintentional; spontaneous,Breaking the window was a deliberate act.
derelict,In very poor condition because of neglect or abandonment.,abandoned; neglected; dilapidated,maintained; occupied; cared-for,The children were warned not to enter the derelict building.
despise,To strongly dislike and have no respect for someone or something.,detest; loathe; scorn,admire; respect; cherish,She despised people who were deliberately cruel to animals.
device,An object or piece of equipment made for a particular purpose.,gadget; apparatus; instrument,—,The small electronic device measures temperature.
din,A loud and unpleasant continuous noise.,racket; clamour; uproar,silence; quiet; calm,The din from the construction site made it difficult to concentrate.
disclose,To reveal information that was previously secret or unknown.,reveal; divulge; expose,conceal; hide; withhold,The company refused to disclose the confidential information.
dispute,A disagreement or argument.,argument; disagreement; quarrel,agreement; accord; harmony,The neighbours had a dispute over the boundary fence.
distress,"Extreme anxiety, sadness, pain, or difficulty.",anguish; suffering; misery,comfort; relief; happiness,The injured animal was clearly in distress.
dwelling,A house or other place where someone lives.,home; residence; abode,—,The small dwelling stood beside the river.
economical,"Using money, time, or resources carefully and without waste.",thrifty; efficient; frugal,wasteful; extravagant; uneconomical,The small car is economical to run.
elude,"To escape from or avoid someone or something, especially cleverly.",evade; escape; avoid,confront; encounter; surrender,The thief managed to elude the police for several hours.
emerge,"To come out, appear, or become known.",appear; arise; surface,disappear; vanish; submerge,A butterfly began to emerge from its chrysalis.
endure,To suffer something difficult patiently; or to continue to exist.,tolerate; withstand; bear,surrender; succumb; quit,The explorers had to endure freezing temperatures.
evaluation,"A careful assessment of the quality, value, or importance of something.",assessment; appraisal; review,neglect; disregard,The teacher completed an evaluation of the student's work.
exaggerate,"To make something seem larger, better, worse, or more important than it really is.",overstate; magnify; embellish,understate; minimise; downplay,Do not exaggerate the size of the fish you caught.
extinction,The state of a species no longer existing.,disappearance; eradication; annihilation,survival; existence; preservation,Habitat loss can push rare animals towards extinction.
factual,Based on facts rather than opinions or imagination.,accurate; truthful; objective,false; fictional; inaccurate,The report was factual and supported by evidence.
fatal,Causing or capable of causing death; disastrous and irreversible.,deadly; lethal; mortal,harmless; survivable; safe,The poisonous bite can be fatal without treatment.
feeble,Weak and lacking physical strength or effectiveness.,weak; frail; faint,strong; powerful; robust,The elderly man spoke in a feeble voice.
fertile,Able to produce abundant plants or crops; capable of reproduction.,productive; fruitful; rich,barren; infertile; unproductive,The fertile soil produced an excellent crop.
flourish,To grow or develop successfully and vigorously.,thrive; prosper; bloom,wither; decline; fail,The plants began to flourish in the warm sunshine.
grave,Very serious or important; also a place where a dead person is buried.,serious; solemn; critical,trivial; minor; cheerful,The doctor warned that the patient was in grave danger.
grieve,"To feel or express deep sadness, especially after a loss.",mourn; lament; sorrow,rejoice; celebrate; delight,The family needed time to grieve after their loss.
harbour,A sheltered area of water where ships can anchor safely; also to keep a thought or feeling secretly.,port; haven; shelter,open sea; expose,The fishing boats returned safely to the harbour.
hasty,Done too quickly and without enough thought.,hurried; rash; impulsive,careful; deliberate; cautious,He made a hasty decision that he later regretted.
hindrance,Something that makes progress difficult or slows it down.,obstacle; impediment; barrier,help; aid; assistance,The heavy snow was a hindrance to the rescue team.
hoax,A deliberate trick intended to make people believe something false.,deception; prank; fraud,truth; fact; reality,The supposed sighting of a monster turned out to be a hoax.
ignorant,Lacking knowledge or awareness about something.,uninformed; unaware; uneducated,knowledgeable; informed; aware,He was ignorant of the rules and accidentally broke one.
imitate,"To copy someone's actions, behaviour, or appearance.",copy; mimic; emulate,differ; originate; innovate,The child tried to imitate the singer's voice.
inaugurate,"To formally begin or introduce something, especially with a ceremony.",launch; initiate; establish,close; terminate; conclude,The mayor will inaugurate the new community centre.
incision,"A cut made into something, especially the body during surgery.",cut; slit; opening,closure; joining,The surgeon made a small incision in the patient's skin.
inferior,"Lower in quality, rank, or importance.",lesser; poorer; subordinate,superior; better; excellent,The cheaper material proved to be inferior in quality.
inhabitants,People or animals that live in a particular place.,residents; occupants; dwellers,visitors; outsiders; foreigners,The island's inhabitants depend largely on fishing.
interfere,To become involved in a situation where involvement is unwanted or unnecessary.,meddle; intervene; intrude,ignore; withdraw; abstain,She told her brother not to interfere in her argument.
interrogate,"To question someone closely and formally, especially to obtain information.",question; examine; grill,answer; respond,The detectives began to interrogate the suspect.
isolation,The state of being separated from other people or things.,separation; solitude; seclusion,company; connection; integration,The remote village lived in isolation for many years.
lenient,More merciful or tolerant than expected; not strict.,merciful; tolerant; forgiving,strict; harsh; severe,The teacher was lenient and gave him another chance.
liable,Legally responsible for something; or likely to experience something.,responsible; accountable; likely,exempt; immune; unlikely,Drivers are liable for damage caused by their negligence.
linger,To remain somewhere longer than necessary or expected.,remain; stay; loiter,leave; depart; hurry,The smell of smoke continued to linger in the room.
lofty,Very high or elevated; noble or impressive in nature.,high; elevated; noble,low; humble; modest,The eagle built its nest on a lofty cliff.
majestic,"Having impressive beauty, dignity, or grandeur.",grand; magnificent; stately,ordinary; unimpressive; humble,The majestic mountains rose above the valley.
margin,The edge or border of something; or an amount by which something differs.,edge; border; boundary,centre; interior,She wrote a note in the margin of the page.
meagre,Very small in amount or quantity; insufficient.,scanty; sparse; inadequate,abundant; plentiful; ample,They survived on a meagre supply of food.
nuisance,A person or thing that causes annoyance or inconvenience.,annoyance; bother; irritation,help; benefit; convenience,The constant buzzing of the fly became a nuisance.
oblige,To require someone to do something; or to help someone as a favour.,compel; require; accommodate,release; exempt; refuse,The rules oblige everyone to wear a safety helmet.
offend,To upset or insult someone; or to break a law or rule.,insult; upset; affront,please; flatter; delight,He did not mean to offend anyone with his remark.
opportunity,A suitable chance or occasion to do something.,chance; opening; occasion,obstacle; hindrance; impossibility,She had an opportunity to perform on stage.
painstaking,"Done with great care, effort, and attention to detail.",meticulous; thorough; diligent,careless; hasty; negligent,The archaeologist carried out painstaking work on the fragile artefact.
passive,Accepting what happens without taking action or resisting.,inactive; submissive; unassertive,active; assertive; forceful,He remained passive while the others argued.
peculiar,"Strange or unusual; particular to a specific person, place, or thing.",strange; odd; unusual,normal; ordinary; conventional,There was a peculiar smell coming from the cupboard.
perceive,"To notice, understand, or become aware of something.",notice; discern; recognise,overlook; ignore; miss,She perceived a slight change in his expression.
perplexed,Completely puzzled or confused.,bewildered; baffled; puzzled,certain; confident; enlightened,He looked perplexed by the difficult riddle.
pigment,A substance that gives colour to something.,colouring; dye; tint,bleach; decolourant,The artist mixed a blue pigment into the paint.
plunder,"To steal goods by force, especially during war or disorder.",loot; pillage; rob,protect; restore; return,The invaders began to plunder the abandoned town.
pretence,An attempt to make something that is not true appear true.,deception; sham; make-believe,truth; reality; sincerity,He made a pretence of being asleep when his mother entered.
proclaim,To announce something publicly or officially.,announce; declare; pronounce,conceal; suppress; withhold,The king stood before the crowd to proclaim the good news.
prohibit,To officially forbid something.,forbid; ban; prevent,allow; permit; authorise,The rules prohibit swimming in the lake.
prophecy,A statement that predicts what will happen in the future.,prediction; forecast; foretelling,—,"According to the ancient prophecy, a great leader would arise."
relevant,Closely connected with or appropriate to the matter being considered.,pertinent; applicable; related,irrelevant; unrelated; inappropriate,Please include only relevant information in your answer.
repent,To feel sorry for something wrong you have done and wish to change.,regret; atone; remorse,persist; rejoice; remain unrepentant,He began to repent after realising how much harm he had caused.
resort to,To use something as a final option when other methods have failed.,turn to; fall back on; employ,avoid; refrain from; reject,They had to resort to candles when the electricity failed.
retreat,"To move back or withdraw, especially from danger or an enemy.",withdraw; retire; recede,advance; approach; proceed,The soldiers were ordered to retreat to a safer position.
rowdy,"Noisy, rough, and disorderly.",boisterous; unruly; disorderly,quiet; orderly; well-behaved,The rowdy crowd disturbed the neighbours.
sanguine,"Optimistic and confident, especially in a difficult situation.",optimistic; hopeful; confident,pessimistic; gloomy; doubtful,She remained sanguine about her chances of success.
sanitary,Clean and hygienic; relating to health and cleanliness.,hygienic; clean; sterile,unsanitary; dirty; unhygienic,The kitchen must be kept sanitary at all times.
stationary,Not moving or changing position.,still; motionless; fixed,moving; mobile; travelling,The car remained stationary at the traffic lights.
sturdy,Strongly built and unlikely to break or be damaged.,strong; robust; solid,fragile; weak; flimsy,The sturdy table easily supported the heavy boxes.
subdued,"Quiet, restrained, or less intense than usual.",muted; restrained; quiet,lively; bright; exuberant,The usually cheerful class was subdued after hearing the bad news.
subterfuge,A trick or dishonest method used to hide what someone is really doing.,deception; trickery; deceit,honesty; openness; candour,He used subterfuge to conceal his true intentions.
subterranean,Existing or occurring beneath the surface of the earth.,underground; belowground; buried,surface; aboveground; aerial,The explorers discovered a subterranean tunnel.
summit,The highest point of a mountain; or a high-level meeting between leaders.,peak; top; pinnacle,base; bottom; foot,The climbers finally reached the summit before noon.
superfluous,More than is needed or necessary.,unnecessary; excessive; redundant,essential; necessary; indispensable,Remove any superfluous details from your answer.
torment,Severe physical or mental suffering; or to cause such suffering.,agony; torture; anguish,comfort; relief; pleasure,The constant toothache was a source of torment.
trivia,"Unimportant facts or details, often interesting or entertaining.",trifles; facts; minutiae,essentials; important matters,The quiz included trivia about famous films.
trivial,Of little importance or seriousness.,minor; insignificant; petty,important; serious; significant,They argued over a trivial matter.
unfathomable,Impossible or extremely difficult to understand.,incomprehensible; mysterious; inexplicable,clear; understandable; obvious,Her sudden decision to leave was unfathomable to her friends.
unsurpassed,Better than or equal to anything else; not exceeded in quality.,unequalled; unrivalled; supreme,inferior; mediocre; surpassed,The view from the mountain was unsurpassed in its beauty.
vanish,To disappear suddenly or completely.,disappear; fade; evaporate,appear; emerge; materialise,The magician made the coin vanish.
volatile,Likely to change suddenly or become dangerous; easily evaporated.,unstable; unpredictable; explosive,stable; calm; predictable,The volatile situation could become dangerous at any moment.
yacht,A sailing or motor boat used for pleasure or racing.,sailboat; pleasure boat; vessel,—,They sailed their yacht along the coast.
yield,To produce or provide something; or to give way or surrender.,produce; surrender; relinquish,resist; withhold; retain,The fertile field should yield a good crop this year.
