word,def,syn,ant,example
regal,Resembling or suitable for royalty,royal; majestic,common; humble,The queen entered the hall with a regal bearing.
submerge,To put or go completely beneath a liquid,immerse; sink,emerge; surface,The diver watched the submarine submerge beneath the waves.
petty,Unimportant or trivial; sometimes spitefully concerned with small matters,trivial; insignificant,important; significant,They wasted an hour arguing over a petty disagreement.
intentional,Done deliberately,deliberate; purposeful; planned,accidental; unintentional; unintended,"His actions were intentional, not an accident."
compulsory,Required by a rule or law,mandatory; obligatory,optional; voluntary,Attendance at the safety briefing is compulsory.
voluntary,Done by choice rather than force,optional; willing,compulsory; mandatory,She does voluntary work at the animal shelter every Saturday.
diminish,To become or make smaller or less important,decrease; lessen,increase; enlarge,The noise began to diminish as the train moved away.
slit,"A long, narrow cut or opening",cut; opening,closure; seal,He peered through a narrow slit in the curtain.
vent,"An opening allowing air, gas, or liquid to escape",outlet; opening,seal; closure,Steam escaped through a vent in the lid.
cork,Material used to seal a bottle; also a bottle stopper,stopper; plug,—,She pushed the cork firmly back into the bottle.
rupture,"A sudden break, burst, or tear",burst; break,repair; mend,The impact caused a pipe to rupture.
rift,A serious split or disagreement,split; division,unity; reconciliation,The argument created a rift between the two friends.
impervious,Not allowing something to pass through; unaffected by something,impenetrable; resistant,permeable; vulnerable,The waterproof coat was impervious to rain.
fissure,"A long, narrow crack",crack; cleft,seal; closure,A deep fissure appeared in the rock.
crevice,A narrow crack or opening,crack; gap,solid surface; closure,A tiny plant was growing in a crevice in the wall.
eccentric,Unusual or strange in behaviour,unconventional; peculiar,conventional; ordinary,The eccentric inventor wore a different coloured shoe on each foot.
authentic,Genuine and real,genuine; real,fake; counterfeit,The museum confirmed that the painting was authentic.
sole,Only; or the underside of a foot or shoe,only; single,multiple; several,She was the sole person who knew the password.
lucid,Clear and easy to understand,clear; intelligible,confusing; obscure,The teacher gave a lucid explanation of the difficult idea.
dazzling,Extremely bright or impressive,brilliant; stunning,dull; unimpressive,The dancer gave a dazzling performance.
splendid,Magnificent or excellent,magnificent; excellent,dreadful; poor,We had a splendid view from the top of the hill.
impair,To damage or weaken,damage; weaken,improve; strengthen,Lack of sleep can impair your concentration.
wreck,To destroy or badly damage,destroy; ruin,repair; restore,The storm threatened to wreck the small boat.
dilemma,A difficult choice between alternatives,predicament; quandary,solution; certainty,She faced a dilemma: tell the truth or protect her friend.
unkempt,Untidy or poorly cared for,untidy; dishevelled,neat; tidy,His hair was unkempt after the windy walk.
subordinate,Lower in rank or importance,junior; inferior,superior; senior,The subordinate officer reported to the captain.
placate,To make an angry person calmer,appease; pacify,provoke; enrage,She offered an apology to placate the angry customer.
irritate,To annoy or cause discomfort,annoy; aggravate,soothe; please,The constant tapping began to irritate everyone.
impartial,Fair and not favouring either side,unbiased; fair,biased; prejudiced,A referee must remain impartial.
wax,To increase or grow,increase; grow,wane; diminish,The moon appeared to wax each night.
wane,To decrease or become weaker,diminish; decline,wax; increase,His enthusiasm began to wane after several setbacks.
vanity,Excessive pride in appearance or achievements,conceit; self-admiration,humility; modesty,His vanity made him check his reflection constantly.
profligate,Recklessly wasteful,wasteful; extravagant,frugal; thrifty,The profligate heir quickly spent his inheritance.
frugal,Careful about spending money or resources,thrifty; economical,extravagant; wasteful,A frugal shopper compares prices before buying.
devout,Deeply religious or strongly committed,pious; devoted,impious; irreligious,The devout worshipper attended the service every week.
dwindle,To gradually become smaller or fewer,shrink; diminish,grow; increase,Our food supplies began to dwindle.
irate,Very angry,furious; enraged,calm; pleased,The irate customer demanded to speak to the manager.
furious,Extremely angry,enraged; livid,calm; placid,Dad was furious when he discovered the broken window.
slack,Loose; or not working hard enough,loose; lax,taut; tight,The rope became slack when the load was removed.
industrious,Hard-working and productive,hard-working; diligent,lazy; indolent,The industrious ants gathered food throughout the summer.
diligent,Careful and persistent in work,hard-working; conscientious,lazy; careless,The diligent student revised a little every evening.
indolent,Lazy and avoiding effort,lazy; idle,industrious; diligent,The indolent prince expected servants to do everything for him.
lax,"Not strict, careful, or sufficiently controlled",careless; lenient,strict; rigorous,Lax security allowed the intruder to enter unnoticed.
conscientious,Careful to do things properly and responsibly,diligent; responsible,careless; negligent,She was conscientious and checked every figure twice.
prose,"Ordinary written or spoken language, not poetry",writing; text,poetry; verse,"The novel is written in clear, lively prose."
poetry,"Literary writing using rhythm, imagery, and expressive language",verse; poems,prose,She enjoys reading poetry aloud.
suppress,"To prevent, restrain, or stop something",restrain; stifle,release; encourage,He tried to suppress a laugh during the serious ceremony.
disguise,To change appearance to hide identity,camouflage; conceal,reveal; expose,The spy wore a hat and glasses as a disguise.
extinct,No longer existing,vanished; died out,living; extant,Dinosaurs have been extinct for millions of years.
imposing,"Impressive because of size, appearance, or importance",impressive; grand,unimpressive; modest,An imposing stone castle stood above the town.
adolescent,A young person developing from child to adult,teenager; youth,adult; infant,The programme offers advice to adolescent students.
berate,To scold angrily,scold; rebuke,praise; commend,The manager berated the player for ignoring the rules.
crave,To have a powerful desire for something,desire; yearn for,reject; dislike,"After the long run, she craved a cold drink."
yearn,"To strongly desire something, especially something difficult to obtain",long; crave,reject; dislike,He yearned to see his family again.
conspicuous,Easily noticed or attracting attention,noticeable; prominent,inconspicuous; hidden,Her bright yellow coat made her conspicuous in the crowd.
conspiracy,A secret plan by a group to do something harmful or illegal,plot; scheme,—,The detectives uncovered a conspiracy to steal the jewels.
vile,Extremely unpleasant or morally bad,disgusting; wicked,pleasant; virtuous,A vile smell came from the blocked drain.
gratifying,Giving pleasure or satisfaction,satisfying; pleasing,disappointing; frustrating,It was gratifying to see all our hard work succeed.
despicable,Deserving strong dislike or contempt,contemptible; vile,admirable; honourable,Stealing from a charity was a despicable act.
adept,Highly skilled,skilled; proficient,inept; unskilled,She is adept at solving complicated puzzles.
loathsome,Extremely unpleasant or disgusting,repulsive; disgusting,appealing; delightful,The bin gave off a loathsome smell.
repulsive,Causing intense dislike or disgust,disgusting; revolting,attractive; appealing,The rotten food had a repulsive odour.
defy,To openly resist or refuse to obey,resist; disobey,obey; comply,The climbers decided to defy the warning and continue.
domestic,Relating to the home or household,household; home-related,foreign; international,Domestic chores included cooking and cleaning.
solace,Comfort during sadness or distress,comfort; consolation,distress; misery,She found solace in music after a difficult day.
aggravation,Annoyance; or the act of making a problem worse,annoyance; irritation,relief; comfort,The repeated delays caused considerable aggravation.
dignify,To make something seem worthy or respectable,honour; elevate,demean; degrade,We should not dignify the silly rumour with a response.
inflame,To make anger or conflict worse; or cause bodily swelling,aggravate; provoke,soothe; calm,His angry speech threatened to inflame the dispute.
blunt,Not sharp; or very direct in speech,dull; direct,sharp; tactful,The knife was too blunt to cut the rope.
thwart,To prevent someone from achieving something,foil; prevent,assist; enable,Quick action thwarted the thief's plan.
foil,To prevent a plan from succeeding,thwart; prevent,assist; enable,The guard dog helped foil the attempted burglary.
lea,An open grassy field or meadow,meadow; grassland,—,Cattle grazed peacefully in the green lea.
meadow,A field of grass and wild plants,field; grassland,—,Wildflowers covered the meadow in spring.
pinnacle,The highest point or greatest achievement,peak; summit,bottom; nadir,Winning the championship was the pinnacle of her career.
dilate,To become or make wider,widen; expand,contract; constrict,The pupils of your eyes dilate in dim light.
oblivious,Unaware of what is happening,unaware; heedless,aware; conscious,He was oblivious to the noise around him.
affluence,Wealth and abundance,wealth; prosperity,poverty; destitution,The district became known for its affluence.
poverty,The state of being extremely poor,destitution; hardship,wealth; affluence,The charity works to reduce poverty.
pivotal,Extremely important to the development or success of something,crucial; central,minor; insignificant,Her discovery played a pivotal role in the investigation.
temperate,Moderate; neither extremely hot nor cold,moderate; mild,extreme; severe,The region has a temperate climate.
humid,Containing a lot of moisture in the air,damp; muggy,dry; arid,The air was hot and humid after the storm.
irksome,Annoying or irritating,annoying; tiresome,pleasant; enjoyable,Filling in the same form twice was irksome.
peddle,To sell goods by travelling from place to place,sell; hawk,buy; purchase,Traders peddled fruit and cloth in the market.
vend,To sell,sell; market,buy; purchase,The machine can vend drinks and snacks.
hawk,"To try to sell goods, often by calling out in public",peddle; sell,buy; purchase,Vendors hawked souvenirs outside the stadium.
miser,Someone who hates spending money,skinflint; cheapskate,spendthrift; giver,The miser hated spending even a single penny.
spurn,To reject with contempt,reject; rebuff,accept; embrace,She spurned the unfair offer.
probate,The legal process of dealing with a dead person's will and estate,estate administration; will validation,—,The will went through probate before the estate was distributed.
probation,A period of testing or supervised behaviour,trial period; supervision,—,The new employee completed a three-month probation period.
dawdle,To waste time by moving or acting slowly,linger; loiter,hurry; rush,Stop dawdling or we will miss the bus.
refute,To prove a statement or argument wrong,disprove; rebut,confirm; substantiate,The evidence helped refute the false accusation.
scoff,To speak about something in a mocking or scornful way,mock; jeer,praise; respect,Some people scoffed at the unusual invention.
limp,To walk unevenly because of injury; also lacking stiffness,hobble; falter,stride; walk normally,He began to limp after twisting his ankle.
floppy,Soft and hanging loosely,limp; drooping,stiff; rigid,The puppy's floppy ears bounced as it ran.
weary,Very tired,tired; fatigued,refreshed; energetic,The weary hikers stopped to rest.
jaded,Tired or bored after having too much of something,weary; bored,enthusiastic; refreshed,"After years of travelling, he had become jaded."
exhausted,Extremely tired,drained; fatigued,energetic; refreshed,We were exhausted after the long hike.
drowsy,Sleepy,sleepy; lethargic,alert; awake,The warm room made me drowsy.
invigorated,Filled with energy,energised; refreshed,exhausted; weary,The cold swim left her feeling invigorated.
obtuse,Slow to understand; also an angle greater than 90°,dull; slow-witted,astute; perceptive,He was being deliberately obtuse and ignored the obvious clue.
abridge,To shorten a text without losing its main meaning,shorten; condense,expand; lengthen,The editor abridged the novel for younger readers.
sullen,"Bad-tempered, gloomy, and silent",gloomy; sulky,cheerful; friendly,The child sat in sullen silence.
acute,Very severe or intense; also sharp or perceptive,severe; intense,mild; slight,She felt acute pain in her ankle.
pensive,"Deeply thoughtful, often slightly sad",thoughtful; reflective,carefree; thoughtless,He looked pensive as he watched the sunset.
impale,To pierce with a sharp object,pierce; skewer,—,The sharp branch could impale anyone who fell onto it.
malign,To speak harmfully and unfairly about someone,slander; defame,praise; commend,It is unfair to malign someone without evidence.
slander,A false spoken statement damaging someone's reputation,defamation; calumny,praise; compliment,The politician sued over the false slander.
crooked,"Bent, twisted, or dishonest",bent; dishonest,straight; honest,The picture hung crooked on the wall.
contempt,A feeling that someone or something is worthless,scorn; disdain,respect; admiration,She treated the dishonest claim with contempt.
vapour,A gas formed from a substance that is usually liquid or solid,mist; steam,—,Water vapour condensed on the cold window.
mist,A cloud of tiny water droplets near the ground,fog; haze,clarity; clear air,A thin mist covered the fields at dawn.
reckless,Acting without considering danger or consequences,rash; careless,cautious; prudent,Reckless cycling on a busy road is dangerous.
enrage,To make extremely angry,infuriate; anger,calm; pacify,The unfair accusation began to enrage him.
perilous,Very dangerous,dangerous; hazardous,safe; secure,The sailors faced a perilous journey through the storm.
overt,Open and clearly visible,open; explicit,covert; hidden,There was no overt sign of disagreement.
covert,Secret or hidden,secret; hidden,overt; open,The officers carried out a covert investigation.
candid,Honest and straightforward,frank; honest,evasive; dishonest,She gave a candid account of what had happened.
stingy,Unwilling to spend or give,miserly; mean,generous; lavish,The stingy landlord refused to replace the broken heater.
decoy,Something used to lure or trick someone,lure; bait,—,The wooden duck was used as a decoy.
futile,Incapable of producing a useful result,pointless; useless,effective; fruitful,It was futile to argue once the decision had been made.
impede,To delay or obstruct progress,hinder; obstruct,assist; facilitate,Heavy traffic may impede the ambulance.
pique,To arouse interest or curiosity; also irritation,arouse; stimulate,dull; soothe,The mysterious letter piqued her curiosity.
smother,To cover completely or prevent breathing,suffocate; stifle,uncover; release,He used a blanket to smother the small fire.
heed,To pay careful attention to,notice; obey,ignore; disregard,You should heed the warning signs.
exile,Forced absence from one's country or home,banishment; expulsion,homecoming; return,The defeated ruler lived in exile for many years.
throng,"A large, densely packed crowd",crowd; multitude,—,A throng gathered outside the theatre.
aloof,Distant and unfriendly,distant; detached,friendly; sociable,The new student seemed aloof at first.
congregate,To gather together,gather; assemble,disperse; scatter,Fans began to congregate outside the stadium.
forthwith,Immediately,immediately; at once,later; eventually,The damaged machine was ordered to be switched off forthwith.
sporadically,Occasionally and irregularly,occasionally; irregularly,constantly; regularly,It rained sporadically throughout the afternoon.
intermittently,Starting and stopping at intervals,periodically; sporadically,continuously; constantly,The lights flickered intermittently during the storm.
godsend,Something unexpectedly helpful,blessing; boon,burden; misfortune,The unexpected lift home was a godsend.
concede,"To admit something is true, often unwillingly",admit; acknowledge,deny; dispute,He finally conceded that his opponent was correct.
contemplate,To think about something carefully,consider; ponder,ignore; dismiss,She sat quietly to contemplate her next move.
vowel,"A speech sound such as a, e, i, o or u",vowel sound,consonant,The letter 'a' represents a vowel in this word.
consonant,A speech sound made by partly or completely blocking airflow,consonant sound,vowel,The word 'cat' begins with the consonant 'c'.
sombre,"Serious, gloomy, or dark",gloomy; solemn,cheerful; bright,Everyone wore sombre expressions after hearing the news.
marquee,A large tent used for events,tent; pavilion,—,The wedding reception was held in a large marquee.
atlas,A book or collection of maps,map book; map collection,—,He used an atlas to locate the mountain range.
ingredient,One of the substances used to make something,component; element,whole; finished product,Flour is an important ingredient in bread.
immaculate,"Perfectly clean, neat, or free from errors",spotless; flawless,dirty; imperfect,The hotel room was immaculate.
tally,To count or record a total; to agree or correspond,count; total,differ; mismatch,The final figures tally with our records.
assent,To express agreement,agree; consent,dissent; refuse,She nodded to show her assent.
deprive,To prevent someone from having something,deny; dispossess,provide; supply,Lack of sleep can deprive you of concentration.
crop,To cut something short; also a harvested plant,trim; harvest,lengthen; grow,The photographer cropped the image to remove the empty border.
criticism,Expression of faults or disapproval,censure; disapproval,praise; approval,The plan received criticism for being too expensive.
glitter,To shine with many small flashes of light,sparkle; shimmer,dull; fade,The snow began to glitter in the sunlight.
felicitous,"Particularly suitable, appropriate, or pleasing",apt; fitting,inappropriate; unsuitable,Her felicitous remark made everyone feel welcome.
hapless,Unlucky or unfortunate,unlucky; unfortunate,lucky; fortunate,The hapless goalkeeper slipped at the worst possible moment.
break a leg,An expression meaning “good luck”,,,"Before the play began, the director smiled and told the actors to break a leg."
rural,Relating to the countryside,countryside; pastoral,urban; metropolitan,They moved from the city to a quiet rural village.
urban,Relating to a town or city,city; metropolitan,rural; countryside,Urban areas often have extensive public transport.
raucous,"Loud, harsh, and disorderly",boisterous; harsh,quiet; subdued,Raucous cheering erupted after the winning goal.
dingy,"Dark, dirty, and unattractive",grimy; shabby,bright; clean,They entered a dingy room with stained walls.
shun,To deliberately avoid someone or something,avoid; reject,seek; embrace,The other children began to shun the bully.
confront,To face or deal with a difficult situation directly,face; challenge,avoid; evade,She decided to confront the problem directly.
forgo,To choose to go without something,waive; relinquish,accept; keep,He chose to forgo dessert.
abstain,To deliberately avoid doing or consuming something,refrain; desist,participate; indulge,She decided to abstain from voting.
club,A heavy stick; also an organised group,cudgel; association,—,He joined the chess club at school.
baton,"A short stick carried by a conductor, runner, or police officer",staff; stick,—,The runner passed the baton to her teammate.
forlorn,"Lonely, sad, and abandoned",desolate; miserable,hopeful; cheerful,The lost dog looked forlorn in the rain.
implore,To beg someone earnestly,beg; beseech,demand; command,She implored the guard to let them through.
pristine,Extremely clean and in original condition,spotless; untouched,dirty; damaged,The lake remained in pristine condition.
grime,Dirt that has accumulated on a surface,dirt; filth,cleanliness; purity,Grime covered the old windows.
filth,Very unpleasant dirt,dirt; grime,cleanliness; purity,The abandoned room was covered in filth.
abolish,To officially end or get rid of something,eliminate; repeal,establish; introduce,The government voted to abolish the outdated rule.
novice,A beginner,beginner; newcomer,expert; veteran,"As a novice, he asked an experienced player for advice."
urge,To strongly encourage someone,encourage; press,discourage; deter,I urge you to read the instructions carefully.
deter,To discourage someone from doing something,discourage; prevent,encourage; persuade,The alarm is designed to deter thieves.
folly,Foolish behaviour or a foolish action,foolishness; stupidity,wisdom; prudence,Ignoring the warning was an act of folly.
crease,A line caused by folding or crushing material,wrinkle; fold,smoothness; flatness,A deep crease appeared in the paper.
shack,"A small, roughly built shelter",hut; cabin,mansion; palace,They found shelter in a wooden shack.
abrupt,Sudden and unexpected; or rudely brief,sudden; curt,gradual; courteous,The meeting came to an abrupt end.
opaque,Not allowing light through; difficult to understand,non-transparent; obscure,transparent; clear,The opaque glass prevented us from seeing inside.
cellar,"A room below ground level, usually for storage",basement; storeroom,attic; loft,They stored the apples in the cool cellar.
chastise,To scold or punish,scold; reprimand,praise; commend,The teacher chastised him for repeatedly interrupting.
glut,An excessive supply of something,surplus; excess,shortage; scarcity,A glut of apples caused prices to fall.
baffle,To confuse completely,bewilder; confuse,clarify; enlighten,The strange clue continued to baffle the detectives.
pliable,Easily bent or influenced,flexible; supple,rigid; stiff,The warm clay became soft and pliable.
permeate,To spread throughout something,pervade; penetrate,—,The smell of fresh bread began to permeate the house.
penetrate,To enter or pass through,pierce; enter,withdraw; remain outside,The nail failed to penetrate the thick wood.
ambiguous,Having more than one possible meaning,unclear; equivocal,clear; definite,The ambiguous instructions confused everyone.
equivocate,To speak vaguely to avoid telling the truth clearly,prevaricate; evade,state plainly; be direct,The witness began to equivocate when asked a difficult question.
rigorous,"Extremely thorough, careful, or demanding",thorough; strict,lax; careless,The equipment must pass rigorous safety tests.
scrupulous,Very careful to behave correctly and honestly,meticulous; conscientious,careless; unscrupulous,She kept scrupulous records of every payment.
nebulous,"Vague, unclear, or poorly defined",vague; indistinct,clear; definite,His explanation of the plan was rather nebulous.
mediocre,Only average; not very good,average; ordinary,excellent; outstanding,The film was mediocre despite its famous cast.
intrigue,To make someone very interested or curious,fascinate; interest,bore; repel,The locked box began to intrigue the children.
jeer,To mock someone rudely,mock; taunt,cheer; applaud,A few spectators began to jeer the referee.
dextrous,Skilful with the hands,skilful; deft,clumsy; awkward,The dextrous jeweller handled the tiny stones with ease.
thrifty,Careful about spending money,frugal; economical,wasteful; extravagant,My grandmother is thrifty and rarely wastes food.
peckish,Slightly hungry,hungry; appetent,full; sated,"I felt peckish, so I ate a small sandwich."
ravenous,Extremely hungry,famished; starving,sated; full,"After football practice, the children were ravenous."
sated,"Completely satisfied, especially with food",full; satisfied,hungry; ravenous,"After the enormous meal, he felt completely sated."
satiated,Fully satisfied; having had enough,sated; satisfied,hungry; famished,The guests were satiated after the feast.
famished,Extremely hungry,starving; ravenous,full; sated,We were famished after walking all day.
replete,Completely full or well supplied,full; well-stocked,empty; depleted,The cupboard was replete with food.
deplete,To greatly reduce the amount of something,exhaust; reduce,replenish; restore,The long drought began to deplete the reservoir.
juvenile,Young or relating to young people,young; youthful,adult; mature,The juvenile fox remained close to its mother.
unravel,To untangle; or solve something complicated,untangle; solve,tangle; complicate,The detective slowly began to unravel the mystery.
tangle,A twisted mass; or to become twisted together,entangle; knot,untangle; unravel,The fishing lines became tangled together.
barb,A sharp backward-pointing projection; also a hurtful remark,spike; point,—,The fishhook had a sharp barb.
despair,Complete loss of hope,hopelessness; despondency,hope; optimism,He refused to give in to despair.
anguish,Extreme physical or emotional suffering,agony; torment,comfort; joy,She cried out in anguish when she heard the news.
twine,Strong thread; or wind things around each other,cord; entwine,untwine; separate,The plant began to twine around the fence.
peripheral,At or near the outer edge; less central,outer; marginal,central; main,Movement in his peripheral vision caught his attention.
ambulatory,Able to walk or relating to walking,walking; mobile,immobile; bedridden,The patient was ambulatory and could walk without help.
stagnant,Not flowing or developing,still; inactive,flowing; developing,Mosquitoes bred in the stagnant water.
mobile,Able to move; also a hanging decoration,movable; portable,stationary; fixed,The lightweight table is mobile and easy to move.
wary,Cautious because of possible danger,cautious; vigilant,careless; trusting,The wary fox watched us from a distance.
gullible,Easily tricked or persuaded,credulous; naive,sceptical; shrewd,A gullible person may believe the scam.
shuffle,To walk without lifting the feet properly,scuff; drag,stride; march,The tired man shuffled slowly towards the door.
stride,"To walk with long, confident steps",pace; march,shuffle; creep,She strode confidently onto the stage.
dread,Great fear or anxiety,fear; apprehension,eagerness; confidence,He felt dread as the storm approached.
fable,"A short story, often with animals, teaching a moral",parable; tale,fact; history,The fable teaches a lesson about honesty.
myth,A traditional story or widely held but false belief,legend; fable,fact; truth,The story of the creature may be only a myth.
doltish,Stupid or foolish,stupid; foolish,clever; astute,His doltish mistake cost the team a point.
dopey,"Silly, sleepy, or not alert",drowsy; foolish,alert; sharp,The medicine made him feel dopey.
shrewd,Clever and good at making practical judgements,astute; canny,naive; foolish,The shrewd merchant negotiated a better price.
astute,Very clever at understanding situations,shrewd; perceptive,obtuse; foolish,Her astute question exposed the flaw in the plan.
imbecile,A very foolish person,fool; idiot,genius; sage,Only an imbecile would ignore such an obvious danger.
inane,Extremely silly or meaningless,silly; senseless,sensible; meaningful,They spent ten minutes discussing an inane rumour.
savvy,Practical knowledge and good judgement,shrewdness; know-how,ignorance; naivety,She has enough computer savvy to solve the problem herself.
