evidence|Facts or information that help show whether something is true.|||The muddy paw prints were evidence that the dog had entered the kitchen.
excellent|Extremely good.|superb|poor|Your excellent instructions made the tricky model easy to build.
existence|The state of being real or alive.|||The photograph confirmed the existence of the rare bird on the island.
familiar|Known or recognised because you have met or seen it before.|recognisable|unfamiliar|I heard a familiar voice and turned to see my best friend.
figurative|Using words imaginatively rather than with their exact ordinary meaning.|non-literal|literal|Calling the goalkeeper 'a brick wall' is figurative language.
foreign|From or connected with another country.|overseas|domestic|We found a foreign coin from Japan in the drawer.
forty|The number equal to four groups of ten.|||There were forty chairs in four rows of ten.
frequently|Often; many times.|often|rarely|We visit the library frequently because we enjoy borrowing books.
government|The group of people responsible for running a country or area.|administration||The government announced a plan to improve public transport.
guarantee|A firm promise that something will happen or be provided.|assurance||The shop gave us a guarantee that it would repair the new bike if it broke.
harass|To keep bothering or upsetting someone.|pester|leave alone|It is unkind to harass someone with repeated nasty messages.
identity|Who someone is, or what makes them recognisable.|||The detective discovered the identity of the masked visitor.
immediate|Happening now, without delay.|instant|delayed|The leaking pipe needed immediate attention.
immediately|At once, without waiting.|instantly|later|When the alarm sounded, we immediately left the building.
individual|One person or thing considered separately from a group.|||Each individual in the team chose a different hat.
inference|An idea worked out from clues rather than stated directly.|deduction||My inference from the wet umbrella was that it had been raining.
interpret|To explain or work out the meaning of something.|explain||Can you interpret the symbols on this old map?
interrupt|To stop someone or something briefly before it is finished.|break into||Please do not interrupt while your partner is speaking.
justify|To give reasons that support an answer or decision.|give reasons for||Use clues from the story to justify your answer.
language|A system of words or signs used to share meaning.|||My grandmother speaks Welsh, and I am learning the language too.
leisure|Time when you are free from work or duties.|free time||During her leisure time, Aisha builds tiny houses from cardboard.
lightning|A bright electrical flash in the sky during a storm.|||We saw lightning through the window before we heard thunder.
literal|Using the ordinary, exact meaning of words.|exact|figurative|The literal meaning of 'cold feet' is feet that are chilly, not feeling nervous.
marvellous|Extremely good or pleasing.|wonderful|awful|The marvellous puppet show made everyone smile.
metaphor|A comparison that describes one thing as another without using 'like' or 'as'.|||The sentence 'The classroom was a zoo' uses a metaphor.
mischievous|Enjoying playful tricks that may cause a little trouble.|impish|well-behaved|The mischievous puppy hid one slipper under the sofa.
muscle|Body tissue that tightens and relaxes to produce movement.|||I could feel the muscle in my upper arm working as I lifted the bag.
narrative|A spoken or written account of events; a story.|story||Her narrative began with a lost sandwich and ended with a rescued cat.
necessary|Needed for a particular purpose.|essential|unnecessary|A helmet is necessary for this cycling activity.
neighbour|Someone who lives near you.|||Our neighbour returned the football that landed in his garden.
occupy|To take up a place or space.|fill|vacate|The enormous beanbag will occupy most of my bedroom.
occur|To happen or take place.|happen||The next eclipse will occur on the date shown in the guide.
parliament|The body that debates and passes laws; in the UK it includes the Commons, Lords and monarch.|||Our class visited Parliament to learn how laws are made.
personification|Describing a thing or idea as if it has human qualities or actions.|||The phrase 'the wind whispered' is personification.
perspective|A particular way of seeing or thinking about something.|viewpoint||From the mouse's perspective, the kitchen was a dangerous place.
persuade|To get someone to agree or act by giving reasons.|convince||I tried to persuade Mum that a library trip would be fun.
physical|Relating to the body rather than the mind.|bodily|mental|Running and jumping are physical activities.
privilege|A special advantage or right that not everyone has.|special advantage||Being allowed to help feed the zoo's penguins was a privilege.
profession|A job that usually needs special education or training.|occupation||Teaching is the profession she hopes to enter.
programme|A planned set of activities or events.|schedule||The holiday programme included swimming, painting and a treasure hunt.
pronunciation|The way a word is spoken, including its sounds and stress.|||I listened to the recording to check the pronunciation of 'yacht'.
purpose|The reason something is done or made.|aim||The purpose of the poster was to invite people to our play.
queue|A line of people or things waiting for their turn.|waiting line||We joined the queue for the museum's dinosaur exhibition.
recognise|To know someone or something because you have met or seen them before.|identify||I could recognise my friend's laugh even behind the curtain.
recommend|To suggest that something is a good choice.|suggest||Which funny book would you recommend for our reading club?
restaurant|A place where people pay to sit and eat meals cooked for them.|||We ate lunch at a restaurant beside the river.
rhyme|A match between the end sounds of words, such as 'cat' and 'hat'.|||I needed a rhyme for 'moon', so I chose 'spoon'.
rhythm|A pattern of beats or sounds.|||We clapped the rhythm while our friend played the drum.
sacrifice|To give up something valued for a more important reason.|give up|keep|I would sacrifice some playtime to help my friend finish the model.
secretary|Someone whose work includes organising records, messages and meetings.|||The club secretary sent everyone the date of the next meeting.
shoulder|The part of the body where an arm joins the torso.|||The parrot perched on the pirate's shoulder.
signature|Someone's name written in their own particular way.|signed name||The author added her signature inside my book.
simile|A comparison using 'like' or 'as' to show a shared quality.|||We wrote the simile 'as quiet as a sleeping mouse'.
sincere|Meaning what you say or feel; not pretending.|genuine|insincere|His sincere apology showed that he truly regretted breaking the toy.
sincerely|In a way that shows you really mean what you say or feel.|genuinely|insincerely|I sincerely hope you feel better soon.
soldier|A person who serves in an army.|||The soldier helped deliver supplies after the flood.
stanza|A group of lines forming a section of a poem.|verse||The poem had three stanzas; each stanza contained four lines.
stomach|The organ that receives food after it is swallowed and helps digest it.|||Food travels from your mouth down a tube to your stomach.
structure|The way the parts of something are arranged.|organisation||We planned the structure of our story before writing its opening.
sufficient|Enough for a particular need.|enough|insufficient|We have sufficient paper for everyone to make a kite.
suggest|To put forward an idea for someone to consider.|propose||I suggest we name our cardboard robot Sir Rusty.
summarise|To give the main points in a shorter form.|sum up||Please summarise the chapter in three sentences.
symbol|A mark, object or sign that represents something else.|sign||The dove is often used as a symbol of peace.
system|A set of connected parts that work together.|||The school's heating system keeps the classrooms warm.
temperature|A measure of how hot or cold something is.|||We used a thermometer to check the temperature of the water.
theme|A central idea explored in a piece of writing or art.|central idea||Friendship is a theme in the story about two lost penguins.
tone|The attitude or feeling shown by someone's voice or writing.|attitude||Her cheerful tone made the invitation sound welcoming.
twelfth|Coming after eleventh in order.|||I was twelfth in the line, with eleven people ahead of me.
variety|A range of different things or types.|assortment|uniformity|The picnic included a variety of fruit, from apples to mangoes.
vegetable|A plant or part of a plant used as food, especially in savoury meals.|||We each chose a vegetable to add to the soup.
vehicle|Something used to transport people or goods, such as a car or bus.|||The delivery vehicle stopped outside the bakery.
imagery|Descriptive language that helps readers imagine sights, sounds or other sensations.|||The poem's imagery helped me picture the snowy forest and hear the crunching footsteps.
